year,importer1,importer2,flow1,flow2
2000,All Other Trade,All Other Trade,1507.33,434.42
2000,All Other Trade,All Other Trade,701.91,1235.61
2000,All Other Trade,All Other Trade,1172.02,765.17
2000,All Other Trade,All Other Trade,988.88,946.51
2000,All Other Trade,All Other Trade,1672.24,261.98
2000,All Other Trade,All Other Trade,796.52,1134.4
2000,All Other Trade,All Other Trade,867.89,1059.59
2000,All Other Trade,All Other Trade,173.68,1744.72
2000,All Other Trade,All Other Trade,1624.15,291.48
2000,All Other Trade,All Other Trade,237.81,1677.2
2000,All Other Trade,All Other Trade,1794.61,115.15
2000,All Other Trade,All Other Trade,749.4,1157.6
2000,All Other Trade,All Other Trade,58.49,1842.83
2000,All Other Trade,All Other Trade,1191.57,708.4
2000,All Other Trade,All Other Trade,1014.25,883.74
2000,All Other Trade,All Other Trade,258.39,1623.95
2000,All Other Trade,All Other Trade,618.34,1261.12
2000,All Other Trade,All Other Trade,768.28,1093.37
2000,All Other Trade,All Other Trade,1475.59,383.11
2000,All Other Trade,All Other Trade,1130.43,723.24
2000,All Other Trade,All Other Trade,1169.31,661.05
2000,All Other Trade,All Other Trade,1380.33,441.67
2000,All Other Trade,All Other Trade,1620.56,169.82
2000,All Other Trade,All Other Trade,1032.92,755.08
2000,All Other Trade,All Other Trade,1065.9,720.8
2000,All Other Trade,All Other Trade,505.37,1273.31
2000,All Other Trade,All Other Trade,1216.302,554.8332
2000,All Other Trade,All Other Trade,912.23,831.24
2000,All Other Trade,All Other Trade,1498.98,242.54
2000,All Other Trade,All Other Trade,1652.71,67.41
2000,All Other Trade,All Other Trade,1657.94,56.31
2000,All Other Trade,All Other Trade,894.65,818.78
2000,All Other Trade,All Other Trade,271.63,1439.76
2000,All Other Trade,All Other Trade,1316.36,392.51
2000,All Other Trade,All Other Trade,368.99,1331.82
2000,All Other Trade,All Other Trade,1580.89,115.77
2000,All Other Trade,All Other Trade,293.48,1380.3
2000,All Other Trade,All Other Trade,1056.39,617.36
2000,All Other Trade,All Other Trade,1166.13,506.68
2000,All Other Trade,All Other Trade,464.88,1194.5
2000,All Other Trade,All Other Trade,615.15,1041.49
2000,All Other Trade,All Other Trade,775.7,880.86
2000,All Other Trade,All Other Trade,744.64,909.17
2000,All Other Trade,All Other Trade,1189.62,458.3
2000,All Other Trade,All Other Trade,719.75,923.07
2000,All Other Trade,All Other Trade,149.21,1493.29
2000,All Other Trade,All Other Trade,40.17,1598.6
2000,All Other Trade,All Other Trade,971.02,666.34
2000,All Other Trade,All Other Trade,1489.06,141.07
2000,All Other Trade,All Other Trade,1028.9,598.19
2000,All Other Trade,All Other Trade,1415.73,203.93
2000,All Other Trade,All Other Trade,1187.1,426.8
2000,All Other Trade,All Other Trade,949.68,663.08
2000,All Other Trade,All Other Trade,90.52,1517.27
2000,All Other Trade,All Other Trade,983.1,615.35
2000,All Other Trade,All Other Trade,977.61,617.96
2000,All Other Trade,All Other Trade,1329.73,265.32
2000,All Other Trade,All Other Trade,784.28,810.34
2000,All Other Trade,All Other Trade,1413.02,175.27
2000,All Other Trade,All Other Trade,940.82,638.39
2000,All Other Trade,All Other Trade,1235.34,343.85
2000,All Other Trade,All Other Trade,155.41,1413.9
2000,All Other Trade,All Other Trade,186.0743,1379.611
2000,All Other Trade,All Other Trade,656.6,907.08
2000,All Other Trade,All Other Trade,278.86,1270.35
2000,All Other Trade,All Other Trade,986.91,553.53
2000,All Other Trade,All Other Trade,1109.44,429.17
2000,All Other Trade,All Other Trade,977.41,561.02
2000,All Other Trade,All Other Trade,1067.55,469.05
